Body_size,Wing_size,Body_R,Body_G,Body_B,Wing_R,Wing_G,Wing_B
29.61,23.06,199.1,190.0,182.0,199.1,190.0,182.0
28.29,23.03,198.9,189.9,182.0,198.9,189.9,182.0
28.64,21.64,199.0,189.9,182.0,199.0,189.9,182.0
27.42,21.81,199.0,190.0,182.0,199.0,190.0,182.0
29.17,22.79,199.0,190.0,181.9,199.0,190.0,181.9
29.73,22.96,199.1,190.0,182.0,199.1,190.0,182.0
30.86,23.5,199.0,190.0,181.9,199.0,190.0,181.9
33.61,20.56,199.0,190.1,181.8,199.0,190.1,181.8
27.12,24.45,199.0,190.1,181.9,199.0,190.1,181.9
34.38,22.85,199.0,190.0,182.0,199.0,190.0,182.0
28.7,22.88,199.0,190.0,181.9,199.0,190.0,181.9
31.65,22.8,199.0,190.1,182.0,199.0,190.1,182.0
30.16,22.75,199.0,190.0,182.0,199.0,190.0,182.0
25.69,23.64,199.0,190.1,182.1,199.0,190.1,182.1
29.75,25.0,199.0,190.0,182.1,199.0,190.0,182.1
28.35,22.34,199.0,190.1,181.9,199.0,190.1,181.9
29.89,23.54,199.0,190.0,182.1,199.0,190.0,182.1
29.24,23.1,199.0,190.0,182.0,199.0,190.0,182.0
31.25,23.71,199.0,190.0,182.0,199.0,190.0,182.0
32.96,24.75,199.0,190.0,181.9,199.0,190.0,181.9
30.11,20.93,199.0,190.0,182.0,199.0,190.0,182.0
29.98,23.79,199.0,190.0,182.0,199.0,190.0,182.0
30.46,24.65,199.0,190.0,182.0,199.0,190.0,182.0
27.68,24.35,199.0,189.9,182.1,199.0,189.9,182.1
27.31,25.92,199.1,190.0,181.9,199.1,190.0,181.9
25.55,20.75,199.0,190.0,182.0,199.0,190.0,182.0
24.82,21.96,199.0,190.1,182.0,199.0,190.1,182.0
26.04,25.92,199.2,190.0,182.1,199.2,190.0,182.1
27.85,21.33,199.0,190.0,182.0,199.0,190.0,182.0
31.15,22.38,199.0,190.0,182.0,199.0,190.0,182.0
25.77,24.42,199.0,190.0,182.0,199.0,190.0,182.0
30.03,22.59,199.0,190.0,182.0,199.0,190.0,182.0
31.82,23.38,199.1,190.0,182.1,199.1,190.0,182.1
32.3,23.9,199.0,190.1,182.0,199.0,190.1,182.0
32.17,23.35,199.0,190.1,182.0,199.0,190.1,182.0
25.81,26.61,198.9,189.9,181.9,198.9,189.9,181.9
27.35,22.92,199.1,190.0,181.9,199.1,190.0,181.9
27.0,22.92,199.0,190.0,182.0,199.0,190.0,182.0
29.16,23.48,199.0,190.0,182.0,199.0,190.0,182.0
30.11,25.69,199.1,189.9,182.0,199.1,189.9,182.0
28.32,21.48,199.0,190.0,182.1,199.0,190.0,182.1
25.89,22.27,199.0,190.0,182.0,199.0,190.0,182.0
24.77,24.35,199.0,190.0,182.0,199.0,190.0,182.0
27.46,22.77,198.9,190.0,182.0,198.9,190.0,182.0
28.6,21.26,199.0,190.0,182.0,199.0,190.0,182.0
26.63,24.14,199.0,189.9,182.0,199.0,189.9,182.0
30.02,22.58,199.0,190.0,182.0,199.0,190.0,182.0
32.74,21.38,199.1,190.0,182.1,199.1,190.0,182.1
27.81,22.88,199.0,190.1,182.0,199.0,190.1,182.0
22.21,25.9,199.0,190.0,181.9,199.0,190.0,181.9
29.44,21.75,199.0,189.9,182.0,199.0,189.9,182.0
33.29,24.02,199.0,190.0,182.0,199.0,190.0,182.0
29.58,22.36,199.0,190.0,182.0,199.0,190.0,182.0
28.84,21.08,199.0,190.1,181.9,199.0,190.1,181.9
30.42,22.68,199.0,189.9,182.0,199.0,189.9,182.0
28.91,24.87,199.0,190.0,181.9,199.0,190.0,181.9
29.25,23.57,199.0,189.9,182.1,199.0,189.9,182.1
29.23,22.18,199.0,190.1,182.0,199.0,190.1,182.0
30.51,25.35,199.0,189.9,182.0,199.0,189.9,182.0
30.34,24.43,199.0,190.1,182.0,199.0,190.1,182.0
26.59,21.99,199.0,190.1,182.1,199.0,190.1,182.1
25.3,24.92,199.0,189.9,181.9,199.0,189.9,181.9
28.02,25.15,198.9,190.0,182.1,198.9,190.0,182.1
26.81,22.59,199.0,190.1,182.0,199.0,190.1,182.0
28.82,24.48,199.0,190.1,182.0,199.0,190.1,182.0
28.74,23.49,199.0,190.0,182.0,199.0,190.0,182.0
28.64,23.45,199.1,190.1,182.0,199.1,190.1,182.0
26.05,23.31,199.1,190.0,182.1,199.1,190.0,182.1
28.17,23.12,199.1,190.0,182.0,199.1,190.0,182.0
29.73,22.25,199.0,190.1,182.0,199.0,190.1,182.0
28.41,22.79,199.1,189.9,181.9,199.1,189.9,181.9
29.55,24.29,199.0,190.0,182.0,199.0,190.0,182.0
26.41,24.02,199.1,190.0,182.1,199.1,190.0,182.1
33.33,21.15,199.0,190.1,182.0,199.0,190.1,182.0
26.7,21.97,199.0,190.1,182.0,199.0,190.1,182.0
27.96,25.46,199.0,190.0,182.0,199.0,190.0,182.0
28.63,22.23,198.9,190.0,182.0,198.9,190.0,182.0
30.02,22.37,199.0,190.0,182.1,199.0,190.0,182.1
31.17,23.62,199.1,190.0,182.0,199.1,190.0,182.0
31.78,22.28,199.0,190.0,182.1,199.0,190.0,182.1
35.53,24.35,199.1,190.0,182.0,199.1,190.0,182.0
30.1,23.13,198.9,190.0,182.0,198.9,190.0,182.0
26.94,21.99,199.0,190.0,181.9,199.0,190.0,181.9
28.29,22.09,199.0,189.9,182.0,199.0,189.9,182.0
29.25,22.05,199.0,190.1,182.0,199.0,190.1,182.0
30.02,24.53,199.1,190.1,182.1,199.1,190.1,182.1
26.99,24.86,199.0,190.0,181.9,199.0,190.0,181.9
28.06,24.81,198.9,190.0,182.0,198.9,190.0,182.0
29.6,24.76,198.9,190.0,182.0,198.9,190.0,182.0
26.32,23.05,198.9,190.0,181.9,198.9,190.0,181.9
31.92,22.34,199.0,190.0,182.0,199.0,190.0,182.0
23.94,20.5,199.0,190.0,182.0,199.0,190.0,182.0
22.87,20.26,199.0,190.0,182.0,199.0,190.0,182.0
27.66,24.98,199.0,190.0,182.1,199.0,190.0,182.1
27.59,23.65,199.0,190.0,181.9,199.0,190.0,181.9
28.35,23.21,199.0,190.0,182.0,199.0,190.0,182.0
28.22,22.96,199.0,190.1,182.1,199.0,190.1,182.1
29.66,21.56,199.0,190.1,182.0,199.0,190.1,182.0
30.91,24.48,199.0,190.1,182.0,199.0,190.1,182.0
28.15,24.32,199.1,190.1,182.0,199.1,190.1,182.0
27.0,22.45,199.0,190.0,182.0,199.0,190.0,182.0
28.96,22.94,199.0,190.0,182.0,199.0,190.0,182.0
27.57,22.26,199.0,189.9,182.0,199.0,189.9,182.0
27.32,24.51,198.9,190.0,182.0,198.9,190.0,182.0
24.15,23.69,198.9,189.9,182.1,198.9,189.9,182.1
28.06,24.21,199.1,190.1,182.0,199.1,190.1,182.0
29.78,19.33,198.9,190.0,181.9,198.9,190.0,181.9
29.94,23.65,199.0,189.9,182.1,199.0,189.9,182.1
28.65,22.55,199.1,190.0,182.1,199.1,190.0,182.1
30.55,22.63,199.0,190.0,181.9,199.0,190.0,181.9
32.8,23.99,199.0,190.1,182.0,199.0,190.1,182.0
33.49,22.11,199.0,190.2,181.9,199.0,190.2,181.9
24.58,24.19,199.0,189.9,182.0,199.0,189.9,182.0
30.55,23.25,199.0,190.0,182.0,199.0,190.0,182.0
25.08,22.58,199.0,190.0,182.1,199.0,190.0,182.1
30.01,22.94,199.0,190.0,182.0,199.0,190.0,182.0
28.33,22.96,199.0,190.0,182.1,199.0,190.0,182.1
26.46,22.46,199.1,190.0,181.9,199.1,190.0,181.9
25.34,25.66,199.0,190.1,182.0,199.0,190.1,182.0
27.51,23.86,199.0,189.9,182.0,199.0,189.9,182.0
26.26,24.31,199.1,190.0,182.0,199.1,190.0,182.0
24.31,24.48,199.0,190.1,182.0,199.0,190.1,182.0
28.52,26.14,199.1,190.0,182.1,199.1,190.0,182.1
25.61,23.31,199.0,190.0,181.9,199.0,190.0,181.9
29.44,24.92,199.0,189.9,182.0,199.0,189.9,182.0
27.63,23.32,198.9,190.0,182.0,198.9,190.0,182.0
23.7,22.04,199.1,190.0,182.1,199.1,190.0,182.1
29.63,24.74,198.9,190.0,182.0,198.9,190.0,182.0
27.96,26.06,198.9,190.1,181.9,198.9,190.1,181.9
32.63,23.12,199.0,190.0,182.0,199.0,190.0,182.0
23.08,20.73,199.0,190.1,181.9,199.0,190.1,181.9
26.82,24.75,199.0,190.0,182.1,199.0,190.0,182.1
29.31,20.28,198.9,190.0,182.0,198.9,190.0,182.0
28.08,25.45,199.0,190.0,181.9,199.0,190.0,181.9
27.74,22.16,199.0,190.0,182.0,199.0,190.0,182.0
33.3,23.27,199.0,190.0,182.0,199.0,190.0,182.0
27.5,23.69,199.1,190.0,182.0,199.1,190.0,182.0
28.64,22.6,198.9,190.0,181.9,198.9,190.0,181.9
31.36,24.75,198.9,189.9,182.0,198.9,189.9,182.0
30.52,23.06,199.1,190.0,182.0,199.1,190.0,182.0
31.22,23.13,199.1,190.1,182.1,199.1,190.1,182.1
29.67,24.64,199.1,190.0,182.0,199.1,190.0,182.0
30.45,25.69,198.9,190.0,182.0,198.9,190.0,182.0
29.63,20.86,199.0,189.9,182.0,199.0,189.9,182.0
25.95,25.08,199.0,190.0,181.9,199.0,190.0,181.9
27.84,23.74,198.9,190.1,182.0,198.9,190.1,182.0
26.65,24.59,199.0,189.9,182.0,199.0,189.9,182.0
27.72,25.23,199.0,190.0,182.0,199.0,190.0,182.0
27.38,24.76,199.0,190.0,182.0,199.0,190.0,182.0
30.14,22.19,199.0,190.0,182.0,199.0,190.0,182.0
31.11,21.94,199.1,189.9,181.9,199.1,189.9,181.9
26.72,24.2,199.0,189.9,182.1,199.0,189.9,182.1
27.17,22.37,199.0,190.0,182.0,199.0,190.0,182.0
27.81,21.81,199.0,190.0,181.9,199.0,190.0,181.9
30.99,24.05,199.0,190.0,182.0,199.0,190.0,182.0
28.44,23.05,198.9,190.1,182.1,198.9,190.1,182.1
29.63,25.66,199.1,190.0,182.0,199.1,190.0,182.0
30.59,22.49,199.0,190.1,182.0,199.0,190.1,182.0
30.38,23.03,199.1,189.9,182.0,199.1,189.9,182.0
28.14,25.8,199.0,189.9,182.0,199.0,189.9,182.0
27.64,22.53,199.0,190.0,181.9,199.0,190.0,181.9
24.13,21.25,199.0,190.1,182.0,199.0,190.1,182.0
29.63,22.23,199.0,190.0,182.0,199.0,190.0,182.0
29.78,21.65,199.0,190.0,181.9,199.0,190.0,181.9
26.84,24.14,199.0,189.9,182.0,199.0,189.9,182.0
31.94,24.02,199.0,190.0,182.0,199.0,190.0,182.0
31.34,25.57,199.0,190.0,182.1,199.0,190.0,182.1
30.98,21.92,199.0,190.0,182.2,199.0,190.0,182.2
28.36,24.08,199.0,190.0,181.9,199.0,190.0,181.9
27.65,23.83,199.0,189.9,181.8,199.0,189.9,181.8
24.99,22.05,199.0,189.9,182.1,199.0,189.9,182.1
29.81,20.09,199.0,190.0,182.0,199.0,190.0,182.0
26.07,23.18,199.0,190.0,182.0,199.0,190.0,182.0
24.67,23.28,199.1,190.0,182.1,199.1,190.0,182.1
26.77,22.79,199.0,190.0,182.0,199.0,190.0,182.0
28.01,23.46,199.0,190.0,181.9,199.0,190.0,181.9
27.31,23.32,198.9,190.1,182.0,198.9,190.1,182.0
27.22,23.97,199.0,190.1,181.9,199.0,190.1,181.9
32.48,23.47,199.0,190.0,181.9,199.0,190.0,181.9
28.99,21.58,199.0,190.0,181.9,199.0,190.0,181.9
30.19,22.14,199.0,190.0,182.0,199.0,190.0,182.0
26.75,23.98,199.0,190.0,182.1,199.0,190.0,182.1
29.01,24.74,198.9,190.0,181.9,198.9,190.0,181.9
31.9,22.45,199.0,189.9,182.0,199.0,189.9,182.0
28.89,25.65,198.9,190.1,182.0,198.9,190.1,182.0
30.81,24.19,199.0,190.0,182.0,199.0,190.0,182.0
31.59,22.36,199.0,189.9,182.1,199.0,189.9,182.1
30.06,25.16,199.1,190.0,182.0,199.1,190.0,182.0
32.31,22.08,199.0,190.1,181.9,199.0,190.1,181.9
28.02,23.73,199.0,190.0,182.0,199.0,190.0,182.0
27.94,22.65,199.0,189.9,182.0,199.0,189.9,182.0
30.16,22.71,199.0,190.0,182.0,199.0,190.0,182.0
24.51,23.7,199.1,190.0,182.1,199.1,190.0,182.1
27.63,22.18,199.0,189.9,182.0,199.0,189.9,182.0
25.02,24.61,199.0,190.1,182.0,199.0,190.1,182.0
23.5,20.83,199.0,190.0,182.1,199.0,190.0,182.1
27.97,24.91,199.0,190.0,182.0,199.0,190.0,182.0
31.6,21.59,198.9,190.0,182.0,198.9,190.0,182.0
28.19,21.1,199.0,190.0,182.0,199.0,190.0,182.0
30.91,21.14,199.0,190.0,182.0,199.0,190.0,182.0
28.27,24.64,199.0,190.0,182.0,199.0,190.0,182.0
28.09,25.25,199.0,190.0,182.0,199.0,190.0,182.0
26.61,23.71,199.0,190.0,182.0,199.0,190.0,182.0
30.55,23.01,199.0,190.0,182.1,199.0,190.0,182.1
31.77,23.96,199.1,190.0,181.9,199.1,190.0,181.9
24.85,28.71,199.0,189.9,182.0,199.0,189.9,182.0
30.08,23.35,199.0,190.0,182.1,199.0,190.0,182.1
25.4,23.31,199.0,190.1,182.0,199.0,190.1,182.0
27.55,24.1,199.0,190.1,182.1,199.0,190.1,182.1
29.45,25.78,199.0,190.0,182.0,199.0,190.0,182.0
28.93,23.91,198.9,190.0,182.0,198.9,190.0,182.0
29.45,22.99,199.0,190.0,182.0,199.0,190.0,182.0
28.18,24.73,199.0,190.0,182.0,199.0,190.0,182.0
30.38,22.32,199.1,189.9,182.1,199.1,189.9,182.1
26.05,23.11,199.0,190.0,182.1,199.0,190.0,182.1
31.26,23.16,199.0,190.0,182.0,199.0,190.0,182.0
32.6,22.12,199.1,190.0,182.0,199.1,190.0,182.0
28.92,19.7,199.0,190.0,182.0,199.0,190.0,182.0
27.24,22.77,199.1,190.0,182.0,199.1,190.0,182.0
29.77,25.58,199.0,190.0,182.0,199.0,190.0,182.0
28.68,25.22,199.0,189.8,182.0,199.0,189.8,182.0
30.11,24.57,199.0,190.0,181.9,199.0,190.0,181.9
27.53,25.13,198.9,190.0,181.9,198.9,190.0,181.9
26.15,23.89,199.0,190.0,182.0,199.0,190.0,182.0
26.42,22.48,199.0,190.0,182.0,199.0,190.0,182.0
25.26,22.48,199.1,190.0,182.1,199.1,190.0,182.1
29.4,23.1,199.1,190.1,182.0,199.1,190.1,182.0
25.52,25.25,199.0,190.0,181.9,199.0,190.0,181.9
29.37,24.6,199.0,190.0,182.0,199.0,190.0,182.0
30.4,22.27,199.0,189.9,182.0,199.0,189.9,182.0
24.15,21.93,199.0,190.1,182.0,199.0,190.1,182.0
31.4,21.73,199.0,190.0,181.9,199.0,190.0,181.9
30.47,22.35,199.0,190.0,181.9,199.0,190.0,181.9
29.5,20.66,199.0,190.0,182.1,199.0,190.0,182.1
31.27,23.14,198.9,190.0,182.0,198.9,190.0,182.0
30.63,23.46,199.0,190.0,182.1,199.0,190.0,182.1
30.43,23.06,199.0,190.1,182.0,199.0,190.1,182.0
30.3,21.1,199.0,190.1,182.1,199.0,190.1,182.1
26.13,24.21,199.0,190.0,181.9,199.0,190.0,181.9
28.51,22.88,199.0,189.9,182.1,199.0,189.9,182.1
28.19,23.9,199.0,190.0,182.0,199.0,190.0,182.0
27.24,23.91,199.1,190.0,181.9,199.1,190.0,181.9
26.5,22.63,199.1,190.0,182.0,199.1,190.0,182.0
30.85,24.69,199.0,190.0,182.0,199.0,190.0,182.0
26.09,24.37,199.0,189.9,181.9,199.0,189.9,181.9
26.22,24.22,199.0,190.0,182.0,199.0,190.0,182.0
24.26,21.64,199.0,190.0,181.9,199.0,190.0,181.9
27.44,22.97,199.1,189.9,181.9,199.1,189.9,181.9
31.86,24.46,199.0,189.9,182.0,199.0,189.9,182.0
32.2,24.88,199.0,190.0,182.0,199.0,190.0,182.0
27.95,22.83,199.0,190.0,181.9,199.0,190.0,181.9
31.05,23.26,199.0,190.0,182.0,199.0,190.0,182.0
28.24,21.34,199.0,190.0,182.1,199.0,190.0,182.1
28.36,19.31,199.0,190.0,182.0,199.0,190.0,182.0
27.56,21.84,199.0,190.1,182.0,199.0,190.1,182.0
30.18,22.53,199.0,190.0,181.9,199.0,190.0,181.9
27.85,25.08,198.9,190.0,182.0,198.9,190.0,182.0
26.2,23.64,198.9,190.0,182.0,198.9,190.0,182.0
24.26,23.32,199.0,190.0,181.9,199.0,190.0,181.9
29.54,24.4,199.0,190.1,182.0,199.0,190.1,182.0
26.54,23.64,199.1,189.9,181.9,199.1,189.9,181.9
29.33,23.17,199.0,190.0,182.1,199.0,190.0,182.1
28.94,23.85,198.9,189.9,181.9,198.9,189.9,181.9
29.51,21.81,199.0,190.0,182.0,199.0,190.0,182.0
25.86,26.69,199.1,190.0,182.0,199.1,190.0,182.0
32.99,21.26,199.0,190.1,182.0,199.0,190.1,182.0
29.63,24.07,199.0,190.0,182.0,199.0,190.0,182.0
30.32,23.4,199.1,190.0,182.1,199.1,190.0,182.1
26.48,22.95,199.0,190.1,182.0,199.0,190.1,182.0
27.48,23.39,198.9,190.0,182.0,198.9,190.0,182.0
27.99,23.02,199.0,190.0,182.0,199.0,190.0,182.0
30.93,24.91,199.0,189.9,181.9,199.0,189.9,181.9
25.9,22.56,199.0,190.1,182.1,199.0,190.1,182.1
26.79,24.9,198.9,190.0,181.9,198.9,190.0,181.9
28.46,25.22,199.1,190.0,182.0,199.1,190.0,182.0
27.51,23.24,199.0,190.1,182.0,199.0,190.1,182.0
25.51,25.01,199.0,190.0,182.0,199.0,190.0,182.0
27.77,21.13,199.0,190.0,182.0,199.0,190.0,182.0
27.24,19.99,198.9,190.0,182.0,198.9,190.0,182.0
28.53,23.36,198.9,190.0,182.0,198.9,190.0,182.0
29.26,25.29,199.1,190.1,182.0,199.1,190.1,182.0
27.91,24.32,199.1,190.0,182.1,199.1,190.0,182.1
29.31,22.93,199.0,189.9,182.1,199.0,189.9,182.1
23.85,24.52,199.0,190.0,182.0,199.0,190.0,182.0
27.45,23.22,199.0,190.1,182.0,199.0,190.1,182.0
25.69,23.59,199.0,190.0,182.0,199.0,190.0,182.0
28.85,23.24,199.0,190.1,181.9,199.0,190.1,181.9
28.29,24.66,199.0,190.0,182.0,199.0,190.0,182.0
30.81,24.21,199.0,190.0,182.0,199.0,190.0,182.0
36.2,22.36,199.0,190.0,182.1,199.0,190.0,182.1
27.73,21.79,198.9,189.9,182.1,198.9,189.9,182.1
29.6,22.24,198.9,190.0,182.0,198.9,190.0,182.0
22.43,21.51,199.1,190.0,182.0,199.1,190.0,182.0
28.77,24.61,199.0,190.1,182.0,199.0,190.1,182.0
25.04,22.35,199.0,190.0,182.0,199.0,190.0,182.0
28.28,22.19,199.0,190.0,181.9,199.0,190.0,181.9
29.82,23.21,199.1,190.0,182.1,199.1,190.0,182.1
29.34,22.19,199.0,190.0,181.8,199.0,190.0,181.8
32.12,23.2,199.0,190.0,182.0,199.0,190.0,182.0
31.56,22.59,198.9,190.0,182.0,198.9,190.0,182.0
29.95,22.25,199.0,190.1,182.0,199.0,190.1,182.0
26.42,22.22,199.0,190.0,182.0,199.0,190.0,182.0
28.5,22.9,199.0,190.0,182.0,199.0,190.0,182.0
32.12,21.6,199.0,190.0,181.9,199.0,190.0,181.9
26.11,25.57,199.0,189.9,182.0,199.0,189.9,182.0
29.99,20.58,199.0,190.0,181.9,199.0,190.0,181.9
29.74,23.53,199.0,190.0,182.0,199.0,190.0,182.0
23.69,22.69,199.0,190.1,182.0,199.0,190.1,182.0
28.56,24.22,199.0,190.0,182.0,199.0,190.0,182.0
30.78,23.33,199.0,190.0,182.1,199.0,190.0,182.1
30.96,23.0,199.0,190.0,182.0,199.0,190.0,182.0
26.64,21.9,198.9,189.9,182.1,198.9,189.9,182.1
29.84,20.47,199.1,189.9,181.9,199.1,189.9,181.9
30.15,21.66,198.9,190.1,182.0,198.9,190.1,182.0
27.78,23.9,199.0,190.0,182.1,199.0,190.0,182.1
31.39,20.5,198.9,190.0,181.9,198.9,190.0,181.9
26.76,23.27,199.0,189.9,182.0,199.0,189.9,182.0
27.24,24.4,199.0,190.0,182.0,199.0,190.0,182.0
23.83,23.7,199.0,190.0,182.0,199.0,190.0,182.0
29.57,23.27,199.0,190.0,182.0,199.0,190.0,182.0
31.12,21.49,199.0,190.0,182.1,199.0,190.0,182.1
31.14,22.22,199.0,190.0,182.1,199.0,190.0,182.1
30.26,22.75,198.9,190.0,181.9,198.9,190.0,181.9
30.46,24.29,199.0,190.0,182.0,199.0,190.0,182.0
25.25,22.98,199.1,190.0,182.0,199.1,190.0,182.0
28.39,22.87,199.0,190.0,182.1,199.0,190.0,182.1
26.87,25.78,199.0,190.1,182.1,199.0,190.1,182.1
29.08,25.36,199.0,190.0,182.0,199.0,190.0,182.0
27.3,21.72,199.0,190.0,182.0,199.0,190.0,182.0
28.9,22.42,199.0,190.0,182.1,199.0,190.0,182.1
34.07,23.54,199.0,190.0,182.1,199.0,190.0,182.1
31.24,22.89,199.0,190.0,182.1,199.0,190.0,182.1
27.85,23.16,199.1,190.0,182.1,199.1,190.0,182.1
29.41,24.38,199.1,190.1,182.1,199.1,190.1,182.1
28.32,22.25,199.0,190.1,182.0,199.0,190.1,182.0
26.16,23.09,199.0,190.0,182.0,199.0,190.0,182.0
29.91,23.84,199.0,190.0,181.9,199.0,190.0,181.9
28.56,22.36,199.1,190.0,182.0,199.1,190.0,182.0
28.94,24.0,199.1,189.9,182.0,199.1,189.9,182.0
28.52,23.36,198.9,190.0,182.0,198.9,190.0,182.0
28.26,24.47,199.0,190.1,182.0,199.0,190.1,182.0
27.6,23.46,199.1,189.9,181.9,199.1,189.9,181.9
29.5,24.21,199.0,190.0,182.1,199.0,190.0,182.1
32.02,24.14,199.0,190.0,182.0,199.0,190.0,182.0
29.97,21.15,199.0,190.0,182.0,199.0,190.0,182.0
29.99,26.39,199.0,190.0,182.0,199.0,190.0,182.0
26.7,21.78,199.0,189.9,182.0,199.0,189.9,182.0
28.11,24.62,198.9,190.0,182.0,198.9,190.0,182.0
29.8,22.54,199.1,190.1,181.9,199.1,190.1,181.9
28.52,24.64,199.0,190.1,182.1,199.0,190.1,182.1
30.14,26.58,198.9,190.0,182.0,198.9,190.0,182.0
30.9,23.69,199.0,190.0,181.9,199.0,190.0,181.9
30.01,22.71,199.0,190.0,181.9,199.0,190.0,181.9
26.36,23.44,199.0,190.0,182.0,199.0,190.0,182.0
29.72,21.26,199.0,190.0,182.0,199.0,190.0,182.0
27.4,22.69,199.0,190.0,182.0,199.0,190.0,182.0
29.21,22.84,199.1,190.1,181.9,199.1,190.1,181.9
